key,metrics.diff_pct,metrics.match_avg_pct,metrics.match_curve_error_max,metrics.match_curve_error_pct,metrics.match_curve_pct,metrics.match_curve_r2,metrics.match_curve_rmse_pct,metrics.match_end_pct,metrics.match_half_curve_pct,metrics.match_half_rmse_pct,metrics.match_hubble_curve_pct,metrics.match_hubble_curve_r2,metrics.match_hubble_end_pct,metrics.match_hubble_half_curve_pct,metrics.match_hubble_half_rmse_pct,metrics.match_hubble_rmse_pct,metrics.match_max_pct,results.a_final,results.radius_max_Gpc,results.size_final_Gpc
2000p_5.8-2.2Gyr_58750M_1centerM_50S_300steps_42_123seeds,9.373606414956683,90.62639358504332,95.97886430419192,99.46117040985493,99.46117040985493,99.49629365495647,98.55396333306723,100.0,99.02612526997356,98.28226921143604,91.72481508428697,45.50253658949781,48.85626963876925,84.6138108928927,79.30471991257458,87.17393832167733,36.366605788955994,2.117386578771553,15.31561075768352,15.08306467589217
2000p_5.8-2.2Gyr_58750M_1centerM_49S_300steps_42_123seeds,16.174576820784168,83.82542317921583,94.08360377245829,99.19945512853829,99.19945512853828,98.8261806449009,97.79254820847892,99.08360377245829,98.50491355747536,97.37535349389438,88.77548441328305,1.1225239774023787,32.21798001058424,78.71775071882273,72.10038116107269,82.7235755321212,24.800404278373193,2.1559652694032683,16.398173648559872,15.357877452993545
2000p_5.8-2.2Gyr_57500M_1centerM_52S_300steps_42_123seeds,5.2107286418546295,94.78927135814537,98.81444148604535,99.45067506200917,99.45067506200918,99.84197162785946,99.19005015270854,99.74717639258945,99.0903060466947,99.05499925353415,96.42705600649641,93.29732989123478,81.55324526372296,94.55227048351365,93.11465127647772,95.5019000418545,61.90469280378109,2.0303886431470564,12.925319936541863,14.463340576925466
2000p_5.8-2.2Gyr_57500M_1centerM_51S_300steps_42_123seeds,5.303591678581213,94.69640832141879,97.72950481989072,99.64376378945788,99.64376378945788,99.85159624453308,99.21510232928013,100.0,99.39410183496119,99.0723721762325,94.31422008260064,74.65712327661005,64.17878877852661,89.8094312356761,85.93087118565957,91.2535234658593,47.304124381453406,2.0817516791196766,14.291890763208757,14.829221801115843
2000p_5.8-2.2Gyr_57500M_1centerM_50S_300steps_42_123seeds,8.549734328315566,91.45026567168443,96.32709666569203,99.50434674296376,99.50434674296378,99.58741236414889,98.69127409411175,100.0,99.1125160222544,98.44601688249338,92.25875384703944,52.21350313164428,51.905195418503986,85.68298749131066,80.62705008044222,87.98959155346753,38.51020602046946,2.1102981873249296,15.114975997742052,15.032570983474653
2000p_5.8-2.2Gyr_57500M_1centerM_49S_300steps_42_123seeds,14.034528105567986,85.96547189443201,94.52506433053478,99.26400995723682,99.26400995723682,99.00837118342734,97.97107887482274,99.52506433053478,98.63316626432419,97.58789521779818,89.46820191880803,12.62520505674144,36.09179021334328,80.1013228382689,73.77628239093033,83.75954230407791,27.470764904604223,2.146979185426434,16.14823564457732,15.293865672072453
2000p_5.8-2.2Gyr_56250M_1centerM_52S_300steps_42_123seeds,5.959349001235921,94.04065099876408,98.75926653819914,99.42014104073768,99.42014104073768,99.82266279312178,99.14199360144444,99.57091667165048,99.03178554316887,98.9969831433618,96.58929156894324,94.19481111609903,83.20056154547837,94.87896364273757,93.65718881454337,95.81386377239757,63.14227186434115,2.026800814913902,12.809486128505396,14.437782917389315
2000p_5.8-2.2Gyr_56250M_1centerM_51S_300steps_42_123seeds,4.713177922526711,95.28682207747329,98.00019789385532,99.66394526190273,99.66394526190274,99.88342024573295,99.30433178262668,100.0,99.43551222412047,99.17965770673136,94.69165777687749,78.13131594094777,66.54130434994687,90.5694460052481,86.94462716999045,91.87512842734361,49.02942955963637,2.076241626975513,14.13040720617158,14.789971305390976
2000p_5.8-2.2Gyr_56250M_1centerM_50S_300steps_42_123seeds,7.752124973586248,92.24787502641375,96.66566954100348,99.5427718595087,99.54277185950869,99.66632966834342,98.82307336583943,100.0,99.18966577717555,98.60330210156067,92.7628456334878,58.30557133893814,54.868270867623565,86.69377712322796,81.91139820615398,88.78125715349869,40.60573144292452,2.1034064180962506,14.91884090039292,14.983477916554492
2000p_5.8-2.2Gyr_56250M_1centerM_49S_300steps_42_123seeds,11.916301002198239,88.08369899780176,94.95352391294301,99.32470004742379,99.32470004742379,99.17013109587884,98.14392577242042,99.95352391294301,98.75389974445693,97.79371737519304,90.13866617996818,23.112951093341838,39.85022998880746,81.44108447652408,75.40398752738133,84.76537474449094,30.070144502952743,2.138257740853956,15.904941258784504,15.23173903262326
2000p_5.8-2.2Gyr_55000M_1centerM_51S_300steps_42_123seeds,4.169033961607681,95.83096603839232,98.26366559359772,99.67702365375492,99.6770236537549,99.90836338955715,99.383227356049,100.0,99.46313182252086,99.27485953543989,95.04800078469376,81.24483521524301,68.83925570256018,91.2881375960132,87.92592342876993,92.47570833300354,50.72181311446613,2.070878649849347,13.972005017526348,14.751768488928327
2000p_5.8-2.2Gyr_55000M_1centerM_50S_300steps_42_123seeds,6.981017374648886,93.01898262535111,96.99475249171532,99.57839760914278,99.5783976091428,99.73384229975171,98.94886109083548,100.0,99.26135628927146,98.75355475378386,93.253574789973,63.81604538078631,57.74694082028067,87.67811902163683,83.15778749908189,89.54887132516069,42.65469736487735,2.0967078196001006,14.7270636371534,14.935760888701274
2000p_5.8-2.2Gyr_55000M_1centerM_49S_300steps_42_123seeds,10.813728456830134,89.18627154316987,95.36926457203926,99.38207302617401,99.38207302617401,99.31280973305657,98.31100215867944,100.0,98.86819471477841,97.99272642964289,90.78924433684224,32.6486313178827,43.495746005962175,82.74162978401017,76.98401784409427,85.74135052857699,32.60146134096594,2.1297951944115265,15.668017349809181,15.171456637054304
2000p_5.8-2.2Gyr_55000M_1centerM_48S_300steps_42_123seeds,20.048980462816417,79.95101953718358,93.26010044407266,99.0758160624168,99.0758160624168,98.4449851772182,97.4592738281816,98.26010044407266,98.25959255767613,96.97868389647267,87.46906669553827,-22.266122836577786,24.953857546813282,76.11104231338265,68.9714080113176,80.78863381580327,19.778939684495015,2.172727967516818,16.86816815991333,15.47728543560946
