key.0_p,key.1_Gyr,key.2_M,key.3_centerM,key.4_S,key.5_steps,key.6_seeds,metrics.diff_pct,metrics.match_avg_pct,metrics.match_curve_error_max,metrics.match_curve_error_pct,metrics.match_curve_pct,metrics.match_curve_r2,metrics.match_curve_rmse_pct,metrics.match_end_pct,metrics.match_half_curve_pct,metrics.match_half_rmse_pct,metrics.match_hubble_curve_pct,metrics.match_hubble_curve_r2,metrics.match_hubble_end_pct,metrics.match_hubble_half_curve_pct,metrics.match_hubble_half_rmse_pct,metrics.match_hubble_rmse_pct,metrics.match_max_pct,results.a_final,results.radius_max_Gpc,results.size_final_Gpc
200,5.8-13.8,50000,1,60,250,123,15.71453032796019,98.17986328371798,97.35258328554607,99.15063992792291,99.15063992792291,99.44967318892144,98.47896263941081,97.35258328554607,98.42599257345867,98.17986328371798,95.72859147780397,93.36369872598013,92.17594317634179,92.93476340668643,92.9422682590397,95.48909354634576,89.563962608216,1.9816458633979515,10.336492562955039,14.116124576404177
200,5.8-13.8,50000,1,59,250,123,14.820252666218607,98.27430864771186,97.53006988442257,99.18870360062847,99.18870360062849,99.50509767402166,98.55758811125027,97.53006988442257,98.4987437777109,98.27430864771186,96.0473369834933,94.36786043474928,93.58176749194536,93.53638720842424,93.54161717849027,95.8443642091315,88.30814260816913,1.9852586651603923,10.454033669983753,14.14186013324127
200,5.8-13.8,50000,1,58,250,123,13.747774826838722,98.38572165048745,97.74147688007632,99.23354213154687,99.23354213154688,99.56668264791321,98.65031448772548,97.74147688007632,98.58458560736545,98.38572165048745,96.42703516058818,95.41674842803485,95.27226848751533,94.25456738460721,94.23199225617985,96.25124013198288,86.87574307752188,1.9895619284564658,10.588102108560463,14.172514147611063
200,5.8-13.8,50000,1,57,250,123,12.453213443985646,98.5175533813248,97.99460068884653,99.2866290237846,99.2866290237846,99.63424921261178,98.75999858512819,97.99460068884653,98.68638587596153,98.5175533813248,96.88152706520647,96.45849820450087,97.3148717197569,95.115983226611,95.0074755394552,96.70470342396467,85.23393568457148,1.9947143520660766,10.74177051524941,14.209217099882745
200,5.8-13.8,50000,1,56,250,123,10.880007388653198,98.67380864403444,98.29933968673265,99.3498155222796,99.34981552227961,99.70689064197113,98.88994527958704,98.29933968673265,98.80775120214419,98.67380864403444,97.42828176513606,97.39874854499621,99.79534372700188,96.1543444864795,95.82062336653277,97.17582280365856,83.3419942366315,2.0009174208927742,10.918850743479627,14.253404254576232
200,5.8-13.8,50000,1,55,250,123,8.999360322093821,98.85868857139548,98.62084511910042,99.42544293035142,99.42544293035144,99.78241762403142,99.04359595715108,98.66835446727677,98.95324750058317,98.85868857139548,97.78910334382275,98.07313380036443,97.17651188202113,96.8117466006799,96.49728255370529,97.56932690835202,81.14888259772417,2.0084288457437522,11.124119627447953,14.306911397755128
200,5.8-13.8,50000,1,54,250,123,6.793333804094189,99.07491546432396,98.90165754937468,99.51649355951581,99.51649355951582,99.85642804600432,99.22310137754516,99.11797084041388,99.12869655845887,99.07491546432396,97.87466271616432,98.20215386483014,93.4591295633414,96.90765819423676,96.5848953013322,97.65211384785978,78.58991800800482,2.0175809441870958,11.363631285736293,14.372105771860008
200,5.8-13.8,50000,1,53,250,123,4.189662460276082,99.31591280364464,99.15042420352961,99.62660648812872,99.62660648812873,99.92074083443755,99.4227628234861,99.66943128341069,99.3415792787421,99.31591280364464,97.65282798001269,97.3165678497598,88.868583175465,96.37697739375947,95.57727575123258,97.13155793084874,75.58206690361598,2.028806114273101,11.645157418919558,14.452067536094546
200,5.8-13.8,50000,1,52,250,123,2.3103337872936294,99.52269338349234,99.367122700831,99.73315290275679,99.73315290275679,99.96073893009513,99.59373387571611,100.0,99.54614348744884,99.52269338349234,97.07659928050303,94.63285625798366,83.16383935774529,95.1229655639344,93.48164550269264,95.94330471517773,72.017165800028,2.0426726812120393,11.978821815208814,14.550845117887825
200,5.8-13.8,50000,1,51,250,123,3.0296331575652715,99.46089961485076,98.80123434395763,99.7515192834068,99.75151928340681,99.95081174939364,99.54526306070662,100.0,99.57285535372851,99.46089961485076,96.11409833014265,88.84281758558605,76.02587810888801,93.07693474246427,90.44269695298662,94.15104822264351,67.75189900722134,2.0599362500229534,12.378038407220881,14.67382102012614
200,5.8-13.8,50000,1,50,250,123,5.36130825727173,94.63869174272827,97.73622672193548,99.68149781935628,99.68149781935628,99.84642341461692,99.19648858765902,100.0,99.42097011176944,99.03746943368667,94.66348371411937,77.75278339003947,67.02745595287266,90.03060237939597,86.42125648640166,91.74078796661594,62.59252785100336,2.081614852453844,12.860940572540146,14.828247125319352
200,5.8-13.8,50000,1,49,250,123,8.647944637361022,91.35205536263898,96.38587232948898,99.5191813360042,99.5191813360042,99.5700509038913,98.65557039909078,100.0,99.08319057833567,98.38586661290157,92.64784392310627,57.65340072615386,55.58798340933719,85.82426704341628,81.22539467867298,88.60511245447684,56.27076868177793,2.10910178814269,13.452638882084463,15.024048512224095
200,5.8-13.8,50000,1,48,250,123,13.767661785602598,86.2323382143974,94.65469145050778,99.2565233432568,99.25652334325682,98.98566588741113,97.93499997395195,99.65469145050778,98.54244753658269,97.51959841338665,89.9218849564852,22.19228769104664,40.90337617181448,80.16103010399502,74.53383024627928,84.55413989129016,48.403984371463714,2.1443405800868587,14.188947060450737,15.275069739676367
