key.0_p,key.1_Gyr,key.2_M,key.3_centerM,key.4_S,key.5_steps,key.6_42,key.7_seeds,metrics.diff_pct,metrics.match_avg_pct,metrics.match_curve_error_max,metrics.match_curve_error_pct,metrics.match_curve_pct,metrics.match_curve_r2,metrics.match_curve_rmse_pct,metrics.match_end_pct,metrics.match_half_curve_pct,metrics.match_half_rmse_pct,metrics.match_hubble_curve_pct,metrics.match_hubble_curve_r2,metrics.match_hubble_end_pct,metrics.match_hubble_half_curve_pct,metrics.match_hubble_half_rmse_pct,metrics.match_hubble_rmse_pct,metrics.match_max_pct,results.a_final,results.radius_max_Gpc,results.size_final_Gpc
2000,5.8-13.8,8750,1,36,300,42,123,6.598679310624604,93.4013206893754,98.7096018085842,99.39350853749869,99.39350853749868,99.80367218393084,99.09722086643637,99.4244952821524,98.98076458740474,98.943014289968,96.69127241998702,94.77638499869184,84.42351758039155,95.08803918057215,94.03769341119862,96.02908345292899,63.83203009030658,2.0238203563475303,12.744926760555282,14.416551815912095
2000,5.8-13.8,8750,1,35,300,42,123,5.427779880643129,94.57222011935687,97.67154315504602,99.63908617208686,99.63908617208685,99.84450998161313,99.19658145510238,100.0,99.38484072240173,99.05017938412746,94.21108647490075,73.56654347229332,63.31167746354222,89.60750528968657,85.62848062686406,91.06731214677859,46.1699592177496,2.082931509068701,14.398045330654865,14.837626242518324
2000,5.8-13.8,8750,1,34,300,42,123,10.585790616261121,89.41420938373888,95.45627775160185,99.39724103186907,99.39724103186907,99.34559604290818,98.35178617340034,100.0,98.89878142731493,98.04134002163013,90.89258967010691,33.68550819470053,43.55613155338476,82.95756219722325,77.16315957562793,85.85153246200471,31.87525837233524,2.1280240107251567,15.735987839893115,15.158839726017728
2000,5.8-13.8,8750,1,33,300,42,123,24.75278400598748,75.24721599401252,92.20344563412633,98.92217979652514,98.92217979652513,97.89789497322919,97.04595028464311,97.20344563412633,97.95575457745835,96.48686802497116,85.73989849479209,-58.54256206901305,14.114718596519353,72.7047685868294,64.66373788887498,78.12348614666485,10.98659989116662,2.1942365455380917,17.691105645095806,15.630500383051679
2000,5.8-13.8,8500,1,35,300,42,123,4.64634181127073,95.35365818872927,98.03106329500916,99.66488262028761,99.66488262028761,99.88684887652504,99.31463798639915,100.0,99.43785617922406,99.19211765027856,94.7128769447844,78.25309943644956,66.48773158227192,90.6174686796561,86.98265586158146,91.89778312087093,48.515515546141316,2.0756133509457,14.178508066216429,14.785495822223668
2000,5.8-13.8,8500,1,34,300,42,123,9.40169125998466,90.59830874001534,95.95901324400427,99.46088963645263,99.46088963645266,99.4943563733348,98.55118523438995,100.0,99.02592225932602,98.27898423890421,91.66687055104991,44.36184905923643,48.042531553940194,84.50630139228181,79.0891225620768,87.04040218419539,35.062870348996924,2.11779065404082,15.43763661081505,15.085943079619378
2000,5.8-13.8,8500,1,33,300,42,123,21.52100332939058,78.47899667060942,92.92900247858803,99.03351018616455,99.03351018616456,98.29277436692253,97.33782833879084,97.92900247858803,98.17626636140918,96.83417733203154,86.90062177014113,-34.597417704462515,20.694978100788703,74.99228093276145,67.44325935635749,79.84310916671433,15.624725596964424,2.1794675823430376,17.25699054103833,15.52529464060473
2000,5.8-13.8,8250,1,35,300,42,123,4.068451065714214,95.93154893428579,98.90004690517634,99.504021031132,99.50402103113201,99.87214521174144,99.27146722690368,100.0,99.19243586892787,99.1535137942178,96.0539453815701,90.93369647483007,77.97592313077129,93.80606932113697,91.86212588278514,94.76857134342637,58.95007138048135,2.0376961586229627,13.201863926072562,14.515395185020283
2000,5.8-13.8,8250,1,34,300,42,123,8.263238850355634,91.73676114964437,96.44227778000418,99.51868523812739,99.51868523812739,99.61784484987936,98.74046438275894,100.0,99.1416558818625,98.50473447575654,92.40275888218682,53.72350883766427,52.3474084328497,85.97959609468744,80.93816873694168,88.18087323296722,38.14052753717226,2.107953635480334,15.1495768307992,15.01586972189939
2000,5.8-13.8,8250,1,33,300,42,123,18.320521489619793,81.6794785103802,93.62311763151915,99.13815290840213,99.13815290840212,98.6323665382174,97.6172665939052,98.62311763151915,98.38372978227329,97.16673674781701,88.00356231600475,-13.509167580282732,26.96946039599449,77.19109256152656,70.10496700595284,81.48939347665122,20.042938262224922,2.165338625769864,16.84345865928488,15.424647943429719
2000,5.8-13.8,7750,1,35,300,42,123,5.947118539925469,94.05288146007453,98.75673955610279,99.41974223921605,99.41974223921608,99.822292174639,99.14109749209275,99.5772921157067,99.03105329935582,98.99591279720818,96.566089164809,94.08289117540092,82.96344060241,94.83503512737869,93.58878529230957,95.77370353894696,62.68441205051073,2.02693058930627,12.852340478157082,14.438707356777467
2000,5.8-13.8,7750,1,34,300,42,123,6.145750200148015,93.85424979985198,97.35250788607925,99.613125214912,99.613125214912,99.79789600830632,99.08403676925005,100.0,99.33194088166431,98.91528600368953,93.74979534318373,68.94119022775271,60.43423140975673,88.68132200680881,84.40780551480287,90.31727529866473,43.99085871200338,2.0894255834906574,14.602002813226157,14.883886356518504
2000,5.8-13.8,7750,1,33,300,42,123,12.044997807929022,87.95500219207098,94.92180071518213,99.32446473022142,99.32446473022142,99.16586446493898,98.13916054324834,99.92180071518213,98.75388828533845,97.78806714674046,90.05425259619287,21.133957435609354,38.658863804761964,81.28369804938023,75.08941369406324,84.57055856991008,28.289081868852094,2.1389034776335563,16.07164355186142,15.236338896298587
2000,5.8-13.8,7500,1,35,300,42,123,7.011238964121631,92.98876103587837,98.67925276420374,99.37680658558747,99.37680658558747,99.79081366688841,99.06812588529982,99.32880812569124,98.94875096852766,98.90797258913312,96.75745215702176,95.14585281522928,85.30672458724541,95.22306338680376,94.29224280829644,96.17209060098259,64.48296768333937,2.0218726108293104,12.68400089117207,14.402677178225227
2000,5.8-13.8,7500,1,34,300,42,123,5.186654348765856,94.81334565123414,97.78046421613067,99.64717986307248,99.64717986307248,99.85855447764291,99.23372404756356,100.0,99.40147471536784,99.09478237949735,94.36497768627747,74.99848746682177,64.22603798253421,89.9175724758877,86.02833356942575,91.31262994640954,46.77450950429007,2.080714382795819,14.341461178521724,14.821832688661049
